Line;Category
التثبت يجنبك الندم;التثبت
التثبت يحفظ الأعراض;التثبت
التثبت يحفظ الحقوق;التثبت
التثبت يحفظ الكرامة;التثبت
التثبت يحفظ المودة;التثبت
التثبت يحمي السمعة;التثبت
التثبت يحمي العلاقات;التثبت
التثبت يحمي المجتمع;التثبت
التثبت يحمي المجتمع من الفتن;التثبت
التثبت يحمي من الزلل;التثبت
التثبت يحمي من الوقوع في الخطأ;التثبت
التثبت يحمي من الوقوع في الشبهات;التثبت
التثبت يحمي من الوقوع في المحظور;التثبت
التثبت يضيء زوايا المشهد;التثبت
التثبت يفتح أبواب البصيرة;التثبت
التثبت يفتح أبواب الفهم العميق;التثبت
التثبت يفتح آفاق الفهم;التثبت
التثبت يفتح باب المعرفة;التثبت
التثبت يفتح باب اليقين;التثبت
التثبت يفتح نوافذ الإدراك;التثبت
التثبت يفك ألغاز المشهد;التثبت
التثبت يفك رموز الأحداث;التثبت
التثبت يفك طلاسم الأحداث;التثبت
التثبت يفك طلاسم الواقع;التثبت
التثبت يفكك شيفرة الواقع;التثبت
التثبت يقي من الخطأ;التثبت
التثبت يقي من الندم;التثبت
التثبت يكشف أبعاد المشهد;التثبت
التثبت يكشف أسرار الحقيقة;التثبت
التثبت يكشف المستور;التثبت
التثبت يكشف حقائق الأمور;التثبت
التثبت يكشف حقيقة المشهد;التثبت
التثبت يكشف خبايا الأمور;التثبت
التثبت يكشف خبايا الحقيقة;التثبت
التثبت يكشف خفايا الأمور;التثبت
التثبت يكشف خيوط الحقيقة;التثبت
التثبت يكشف درب السلامة;التثبت
التثبت يكشف زيف المظاهر;التثبت
التثبت يكشف غموض المشهد;التثبت
التثبت يكشف مكنون الأمور;التثبت
التثبت يكشف نور الحقيقة;التثبت
التثبت يكشف وجه الحقيقة;التثبت
التثبت يمنع الخصومة;التثبت
التثبت يمنع الخلاف;التثبت
التثبت يمنع الظلم;التثبت
التثبت يمنع الفتن;التثبت
التثبت يمنع الندم;التثبت
التثبت يميز الأصيل من الزائف;التثبت
التثبت ينبوع يتدفق بالحقائق النقية;التثبت
التثبت ينير دروب الحقيقة;التثبت
التثبت ينير طريق الحقيقة;التثبت
التجارب الجديدة تأتي من النشاط;النشاط
التجارب المؤلمة مثل الخذلان تشكل شخصياتنا وتجعلنا أقوى;الخذلان
التجاهل أحيانًا أبلغ من الرد;التغافل
التجاهل أحيانًا يكون أبلغ من الرد;التغافل
التجاهل فن يرتقي به الأذكياء;التغافل
التجاهل هو سلاح يُريحك;التغافل
التجاهل يبعدنا عن الشقاء;التغافل
التجاهل يخفف من آلام القلب;التغافل
التجربة الحقيقية ساحة قتال لا تروق إلا للشجعان;الشجاعة
التجربة الصادقة تمنع الغش;الغش
التجربة تصنع التحديث;البطر
التجربة هي المعلم الأعظم;التعالي
التجسس على الأسرار هو تدمير للسلام;التجسس
التجسس على الأصدقاء يخلق العداوات;التجسس
التجسس كالدخان ينتشر ويؤذي الجميع;التجسس
التجسس كالعصفور يصطاد نفسه;التجسس
التجسس كحبل مشنقة يقيد من يمسك به;التجسس
التجسس هو أضعف أسلوب للحياة;التجسس
التجسس هو البداية للخيانة;التجسس
التجسس هو البوابة إلى الفتنة;التجسس
التجسس هو الطريق إلى الفشل في العلاقات;التجسس
التجسس هو العدو اللدود للحرية;التجسس
التجسس هو انعدام للأخلاق;التجسس
التجسس هو انعدام للثقة;التجسس
التجسس هو بداية النهاية للعلاقات;التجسس
التجسس هو خيانة للثقة;التجسس
التجسس هو سلوك غير ناضج;التجسس
التجسس هو شعور بالقلق على نفسك;التجسس
التجسس هو عدو النجاح;التجسس
التجسس هو علامة الضعف;التجسس
التجسس هو علامة ضعف لا قوة;التجسس
التجسس هو هدم للثقة بين الناس;التجسس
التجسس يترك أثرا لا يمحى;التجسس
التجسس يجعل القلب حزينا;التجسس
التجسس يجعل القلوب متشاحنة;التجسس
التجسس يحرمك من صداقات حقيقية;التجسس
التجسس يخرب الأجواء الودية;التجسس
التجسس يخلق شعورا بالخيانة;التجسس
التجسس يدل على غياب الثقة بالنفس;التجسس
التجسس يسرق الفرح من الحياة;التجسس
التجسس يشبه إلقاء حجر في بركة هادئة;التجسس
التجسس يشبه خنجرا يطعن في الظهر;التجسس
التجسس يضر بالصورة العامة;التجسس
التجسس يظهر العداوة المبطنة;التجسس
التجسس يعني فقدان الأمان;التجسس
التجسس يغتال الفرح;التجسس
التجسس يفتح أبواب الشر;التجسس
التجسس يفسد العلاقات;التجسس
التجسس يفسد فرحة النجاح;التجسس
التجسس يقتل الثقة قبل أن يجرح العلاقات;التجسس
التجسس يقتل الطمأنينة;التجسس
التجسس يكسر القلوب;التجسس
التجسس يكشف العيوب التي لا تظهر للعيان;التجسس
التجسس يمزق الأواصر;التجسس
التجسس ينشر الشائعات;التجسس
التجسس ينقلب على صاحبه;التجسس
التجسس يؤذي حتى من يمارسه;التجسس
التجسس يولد الخوف والخوف يولد الفشل;التجسس
التجعيدة القديمة لا تمحى أبدا;الحسد
التحدث بإيجابية يعكس شخصية راقية;الغيبة
التحدث في الغيبة ليس من شيم الأذكياء;الغيبة
التحدث نصف الحكمة والإنصات نصفها الآخر;الإنصات
التحديات تتطلب نشاطا أكبر;النشاط
التحديات تتطلب نشاطا أكبر من المعتاد;النشاط
التحرر من الحقد هو أول خطوات النجاح;الحقد
التحقق بالبرهان علم والملابسة عن تلك الحالة ذوق والقبول من التسامع والتجربة بحسن الظن إيمان;سوء الظن
التحقق من المعلومة خير من نشر ألف خبر;التثبت
التحكم بالغضب هو سر الحكمة;كظم الغيظ
التحكم في الغضب فن يتعلمه الكبار;كظم الغيظ
التحكم في الغضب هو الفرق بين القوي والضعيف;كظم الغيظ
التحكم في النفس عند الغضب علامة حكمة;كظم الغيظ
التحكم في النفس هو أعظم انتصار;كظم الغيظ
التحلي بــــ  رونق العلم  حسن السمت والهدي الصالح من دوام السكينة والوقار; حسن السمت
التحلي بالأخلاق الحميدة يمنع الغش;الغش
التحلي بالأمانة يحميك من الغش;الغش
التحلي بالأناة يدعو إلى راحة البال;التأني الأناة
التحلي بالأناة يمنحك طاقة إيجابية;التأني الأناة
التحلي بالصبر يجعل الشخص متمتعًا بالكرامة، ولا شيء يستطيع أن يكسره أو يكون سببًا في جعله تعيسًا.;الصبر
التحمل هو أول شيء يجب على الطفل تعلمه وهذا هو أكثر شيء سيحتاج لمعرفته;الحكمة
التحمل هو أول شيء يجب على الطفل تعلمه، وهذا هو أكثر شيء سيحتاج لمعرفته.;الحكمة
التحمل هو مفتاح التعايش مع سوء الجوار;سوء الجوار
التخاذل ليس خيارا بل هو فشل;التخاذل
التخاذل هو اختيار الضعف;التخاذل
التخاذل هو اعتراف بالفشل قبل البدء;التخاذل
التخاذل هو جريمة في حق النفس;التخاذل
التخاذل هو دعوة للفشل;التخاذل
التخاذل هو سبب الكثير من الإخفاقات;التخاذل
التخاذل هو سم النجاح;التخاذل
التخاذل هو طريق الفشل السريع;التخاذل
التخاذل هو عدو النجاح الحقيقي;التخاذل
التخاذل هو غياب الإرادة;التخاذل
التخاذل هو قيد على النفس;التخاذل
التخاذل هو هروب من الواقع;التخاذل
التخاذل هو هزيمة للروح;التخاذل
التخاذل يبعدك عن تحقيق ذاتك;التخاذل
التخاذل يثنيك عن تحقيق طموحاتك;التخاذل
التخاذل يجعل الحياة أكثر صعوبة;التخاذل
التخاذل يجعل المستقبل مظلما;التخاذل
التخاذل يجعل من الصعب تحقيق الطموحات;التخاذل
التخاذل يجعلك أسيرا لكسلك;التخاذل
التخاذل يجعلك دائما في دائرة الفشل;التخاذل
التخاذل يجعلك عالقا في حلقة مفرغة;التخاذل
التخاذل يجعلك غير مؤهل لمواجهة التحديات;التخاذل
التخاذل يحرمك من التقدم;التخاذل
التخاذل يخفف من قيمة الجهد;التخاذل
التخاذل يدمر الآمال;التخاذل
التخاذل يزرع الفشل في قلوب الناس;التخاذل
التخاذل يعني التخلي عن المسؤوليات;التخاذل
التخاذل يعني ترك المستقبل في خطر;التخاذل
التخاذل يعني فقدان السيطرة على حياتك;التخاذل
التخاذل يقتل الأحلام قبل أن تبدأ;التخاذل
التخاذل يقضي على الإبداع;التخاذل
التخاذل يقود إلى الضياع;التخاذل
التخاذل يقود إلى ندم لا ينتهي;التخاذل
التخاذل يمنعك من استغلال طاقاتك;التخاذل
التخاذل يمنعك من الاستمتاع بالنجاح;التخاذل
التخاذل يمنعك من الوصول إلى إمكاناتك;التخاذل
التخاذل يمنعك من الوصول إلى أهدافك;التخاذل
التخاذل ينزع الحماس من الحياة;التخاذل
التخاذل ينشر الفشل حولك;التخاذل
التخاذل ينقص من قيمتك أمام نفسك;التخاذل
التخاذل يهدد أحلامك;التخاذل
التخطيط بدون نشاط لا يثمر;النشاط
التخلص من الخبث هو بداية جديدة;الخبث
التخلي عن الذل يتطلب قوة إرادة;الذل
التربية الصادقة تبعد عن الغش;الغش
التربية بالرفق تدوم حتى آخر العمر والتربية بالخوف تدوم حتى زوال التهديد فقط;الرفق
التركيز على الأمور الكبيرة والتغافل عن الصغيرة سلوك العقلاء;التغافل
التركيز على الإيجابيات يتطلب التغافل عن السلبيات;التغافل
التزم الإخلاص في السرّ والعلانية.;الإخلاص
التسامح أرقى أنواع النسيان;السماحة
التسامح أرقى أنواع النسيان.;التسامح
التسامح أرقى أنواع النسيان. ;التسامح
التسامح أساسه الإيمان بالله، والإيمان بالله هو الطريق إلى الجنة وهذا يتمناه كل شخص منا.;التسامح
التسامح اقتصاد القلب التسامح يوفر نفقات الغضب وتكاليف الكراهية وإزهاق الأرواح;السماحة
التسامح اقتصاد القلب، التسامح يوفر نفقات الغضب تكاليف الكراهية وإزهاق الأرواح.;التسامح
التسامح اقتصاد القلب، التسامح يوفر نفقات الغضب وتكاليف الكراهية وإزهاق الأرواح.;التسامح
التسامح أقوى من العدوان;العدوان
التسامح الحق لا يستلزم نسيان الماضي بالكامل;السماحة
التسامح الحق لا يستلزم نسيان الماضي بالكامل.;التسامح
التسامح المطلق لا يستلزم نسيان الماضي بالكامل;السماحة
التسامح المطلق لا يستلزم نسيان الماضي بالكامل.;التسامح
التسامح أمر مضحك فهو يثلج الصدور ويخفف الآلام;السماحة
التسامح أمر مضحك، فهو يثلج الصدور ويخفف الآلام.;التسامح
التسامح أمر مهم فهو يثلج الصدور ويخفف الآلام;السماحة
التسامح جزء من العدالة;الإساءة
التسامح جزء من العدالة.;التسامح
التسامح زينة الفضائل;السماحة
التسامح زينة الفضائل.;التسامح
التسامح صفة نبيلة وشعور رائع قليل من لديه هذه الصفة، ويشعر بها.;التسامح
التسامح طريق للجنة;السماحة
التسامح طريق للجنة.;التسامح
التسامح في الحب أرقى أنواع النسيان;السماحة
التسامح قد يكون أحيانا صعبا لكن من يصل إليه يسعد;السماحة
التسامح قد يكون أحياناً صعباً لكن من يصل إليه يسعد. ;التسامح
التسامح ليس دليلا على الضعف، وإنما دليل على القوة وصفاء القلب.;التسامح
التسامح محبة أصابها التعالى;السماحة
التسامح محبة أصابها التعالي;السماحة
التسامح محبة أصابها التعالي.;التسامح
التسامح مع الذات من أصعب أنواع التسامح.;التسامح
التسامح مع الذئب يعني ظلامة نحو الخروف;السماحة
التسامح مع الذئب يعني ظلامة نحو الخروف.;التسامح
التسامح نبع من الحكمة;السماحة
التسامح هو أجمل شيء في الحياة.;التسامح
التسامح هو أفضل انتقام;كظم الغيظ
التسامح هو أقوى سلاح ضد العدوان;العدوان
التسامح هو أكبر مراتب القوة وحب الانتقام هو أول مظاهر الضعف;الانتقام
التسامح هو أكبر مراتب القوة، وحب الانتقام هو أول مظاهر الضعف. ;الانتقام
التسامح هو الأساس لبناء العلاقات بينما الانتقام ينهكها;الانتقام
التسامح هو الذي يعطي للصواب قوته وقدراته على الامتداد وتحقيق النصر;السماحة
التسامح هو الذي يعطي للصواب قوته وقدراته على الامتداد وتحقيق النصر.;التسامح
التسامح هو السلاح الذي يحقق السعادة;الانتقام
التسامح هو الشك بأن الآخر قد يكون على حق;سوء الظن
التسامح هو الشك بأن الآخر قد يكون على حق.;التسامح
التسامح هو الشك بأن الآخر قد يكون على حقّ.;التسامح
التسامح هو الشكل الأخير من أشكال الحب;السماحة
التسامح هو الشكل الأخير من أشكال الحب. - رينولد نيبور;التسامح
التسامح هو الشكل النهائي للحب;السماحة
التسامح هو الشكل النهائي للحب.;التسامح
التسامح هو الطريق الأفضل للتعامل مع سوء الجوار;سوء الجوار
التسامح هو الطريق إلى الشفاء بينما الانتقام هو طريق الدمار;الانتقام
التسامح هو الطريق إلى النور;الانتقام
التسامح هو العبير الذي يصبه البنفسج على القدم التي سحقته;السماحة
التسامح هو العبير الذي يصبه البنفسج على القدم التي سحقته.;التسامح
التسامح هو العطر الذي تطبعه زهرة البنفسج على القدم التي سحقتها;السماحة
التسامح هو العطر الذي تطبعه زهرة البنفسج على القدم التي سحقتها.;التسامح
التسامح هو العلاج والانتقام هو السم;الانتقام
التسامح هو الفوز الحقيقي;كظم الغيظ
التسامح هو القوة الحقيقية التي تقود إلى الفرح;الانتقام
التسامح هو القوة الحقيقية بينما الانتقام هو الضعف;الانتقام
التسامح هو القوة في اللين;السماحة
التسامح هو الكرم بعينه;السماحة
التسامح هو المفتاح للتغلب على سوء الجوار;سوء الجوار
التسامح هو أن ترى نور الله في كل من حولك مهما يكن سلوكهم معك وهو أقوى علاج على الإطلاق;السماحة
التسامح هو أن ترى نور الله في كل من حولك مهما يكن سلوكهم معك وهو أقوى علاج على الإطلاق.;التسامح
التسامح هو أن ترى نور الله في كل من حولك مهما يكن سلوكهم معك وهو أقوى علاج علي الإطلاق;السماحة
التسامح هو أن تري نور الله في كل من حولك مهما يكن سلوكهم معك وهو أقوى علاج على الإطلاق;الرفق
التسامح هو أن تمنح الكراهية بداخلك غرفة صغيرة جدا في قلبك;السماحة
التسامح هو أن تمنح الكراهية بداخلك غرفة صغيرة جداً في قلبك. - تشول سو;التسامح
التسامح هو جسر الحب والتآلف;السماحة
التسامح هو سر القلوب البيضاء;السماحة
التسامح هو طلب السماح من نفسك والآخرين;السماحة
التسامح هو طلب السماح من نفسك والآخرين.;التسامح
التسامح هو علاج سوء الجوار;سوء الجوار
التسامح هو لغة العظماء;السماحة
التسامح هو مفتاح السعادة والحقد هو عائقها;الحقد
التسامح هو مفتاح الفعل والحرية;السماحة
التسامح هو مفتاح الفعل والحرية.;التسامح
التسامح والرحمة من صفات الواثقين بأنفسهم الذين لا يعرفون الخوف;السماحة
التسامح والرحمة من صفات الواثقين بأنفسهم ولا يعرفون الخوف;الرحمة
﻿التسامح والرحمة من صفات الواثقين بأنفسهم ومن لا يعرفون الخوف﻿;الرحمة
التسامح والصفح هما الأساس للوصول إلى سلامة الصدر;سلامة الصدر
التسامح يتطلب شخص قوي جدا لكي يسامح، والتسامح شكل من أشكال الحب.;التسامح
التسامح يجعل منك شخصاً معطاءً;السماحة
التسامح يجعلك أعلى من كل خصومة;السماحة
التسامح يجعلك إنساناً قوياً;السماحة
التسامح يجعلك راضياً عن حياتك;السماحة
التسامح يجعلك شخصاً قوياً بالسلام;السماحة
التسامح يجعلك شخصاً محبباً للناس;السماحة
التسامح يجعلك عظيماً في عيون الناس;السماحة
التسامح يجعلك فوق الصراعات;السماحة
التسامح يجعلك قدوة للآخرين;السماحة
التسامح يجلب السلام للجميع;السماحة
التسامح يجلب لك الطمأنينة;السماحة
التسامح يحرر الروح والحقد يقيدها;الحقد
التسامح يحررك بينما الانتقام يقيدك;الانتقام
التسامح يحررك من قيود الأحقاد;السماحة
التسامح يدل على سلامة نفسك من الغل والحقد وكل ما هو سيئ.;التسامح
التسامح يرفعك فوق صغائر الأمور;السماحة
التسامح يُرقي بك فوق الأحقاد;السماحة
التسامح يريح قلبك من الأعباء;السماحة
التسامح يزرع الزهور في قلوب الآخرين;السماحة
التسامح يُزيدك نوراً وحكمة;السماحة
التسامح يسلب من الحقد قوته;السماحة
التسامح يصبح جريمة عندما يطبق على الشر;السماحة
التسامح يصبح جريمة عندما يطبق على الشر. - توماس مان;التسامح
التسامح يُضفي الجمال على روحك;السماحة
التسامح يُظهر نقاء سريرتك;السماحة
التسامح يعلو فوق الضغائن ويطفئ نار الكراهية;السماحة
التسامح يعني أن تمنح لنفسك الفرصة كي تبدأ بداية جديدة;السماحة
التسامح يعني أن تمنح لنفسك الفرصة لكي تبدأ بداية جديدة;التسامح
التسامح يعني أن تمنح لنفسك الفرصة لكي تبدأ بداية جديدة.;التسامح
التسامح يعني أن تمنح لنفسك الفرصة لكي تبدأ بداية جديدة. - ديزموند توتو;التسامح
التسامح يمحو آثار الجروح ويعيد للروح سلامها;السماحة
التسامح يمحو آلام الذكريات;السماحة
التسامح يمحو العداء من القلوب;السماحة
التسامح يمحو العداء ويزيل البغضاء;السماحة
التسامح يمحو العداء ويزيل البغضاء.;التسامح
التسامح يمحو العداء ويزيل البغضاء. ;التسامح
التسامح يمنحك الثقة بالنفس;السماحة
التسامح يمنحك الطاقة الإيجابية;السماحة
التسامح يمنحك العيش بسلام;السماحة
التسامح يمنحك القوة بينما الانتقام يضعفك;الانتقام
التسامح يمنحك القوة لتعيش بسلام;السماحة
التسامح يمنحك ثباتاً في الصعاب;السماحة
التسامح يمنحك حياة مليئة بالطمأنينة;السماحة
التسامح يمنحك قوة التجاوز;السماحة
التسامح يمنحك نور البصيرة;السماحة
التسامح يمنحك وضوح الرؤية;السماحة
التسامح ينير قلبك بالسلام;السماحة
التسلُّطُ على المماليك دناءة;الظلم
التسهل يدر الأرزاق;الرفق
التشاؤم علامة العجز فنحن نصبح متشائمين عندما نشعر بعجزنا عن السيطرة على أحلامنا وظنوننا;سوء الظن
التشاؤم هو تسوس الحياة وسوء الظن بها;سوء الظن
التشاؤم يفضي إلى الضعف  بينما التفاؤل يقودك إلى القوة;التفاؤل
التشاؤم يفضي إلى الضعف بينما التفاؤل يقودك إلى القوة;التفاؤل
التشدد في الرأي يغلب على التسامح فيه لأن الأول مبني على الشعور أو الدين والثاني مبني على العقل;السماحة
التصاغر التام يقضي على الحياء;الحياء
التصاغر التام يقضي على الحياء الحياء زينة للشباب لكنه عيب على كبير السن;الحياء
التصاغر التام يقضي على الحياء.;الحياء
التصاغر التام يقضي على الحياء، الحياء زينة للشباب، لكنّه عيب على كبير السن.;الحياء
التصرف بحكمة في الأوقات الصعبة يقتل الجزع;الجزع
التضحيات هي ثمن الاستقلال;التضحية
التضحية الحقيقية هي أن تتخلى عن الأشياء التي لها قيمة لدينا لصالح الآخر أشياء لا تعوض;التضحية
التضحية الحقيقية هي أن نتخلى عن الأشياء التي لها قيمة لدينا لصالح الآخرين أشياء لا تعوض;التضحية
التضحية الكبيرة سهلة لكن التضحيات الصغيرة المتواصلة صعبة;التضحية
التضحية أول شروط الرئاسة;التضحية
التضحية بالذات لصالح الآخرين هو من الإيثار;الإيثار
التضحية بالذات من أجل الغير قمة الإنسانية;التضحية
التضحية بالراحة اليوم تصنع النجاح غداً;التضحية
التضحية بالراحة ثمن النجاح الباهر;التضحية
التضحية بالنفس تدل على الكرم;التضحية
التضحية بالنفس ترفع عنا حرج التضحية بالآخرين;التضحية
التضحية بالنفس من أجل العقيدة أسمى درجات الإيمان;التضحية
التضحية بالوقت من أجل العلم استثمار للمستقبل;التضحية
التضحية بحر يحمل سفن الأحلام;التضحية
التضحية بوصلة تهدي الحائرين;التضحية
التضحية تاج يتوج به الأوفياء;التضحية
التضحية تبني الأجيال;التضحية
التضحية تبني الأمم;التضحية
التضحية تبني الأوطان;التضحية
التضحية تبني الحضارات;التضحية
التضحية تبني المجتمعات;التضحية
التضحية تجعل الحياة أجمل;التضحية
التضحية تحول المستحيل إلى ممكن;التضحية
التضحية تصنع الأبطال;التضحية
التضحية تصنع الأوطان;التضحية
التضحية تصنع التاريخ;التضحية
التضحية تصنع الحياة;التضحية
التضحية تصنع المستحيل;التضحية
التضحية تصنع المستقبل;التضحية
التضحية تصنع المعجزات;التضحية
التضحية تظهر كشرط ضروري للحياة;التضحية
التضحية جسر يعبر به المؤمنون إلى النصر;التضحية
التضحية جوهرة في عقد الأيام;التضحية
التضحية حرف في كتاب الزمان;التضحية
التضحية خارطة تقود إلى المجد;التضحية
التضحية خطوة على درب النجاح;التضحية
التضحية خطوة في درب المجد;التضحية
التضحية خطوة في درب النصر;التضحية
التضحية خفقة في قلب التاريخ;التضحية
التضحية خفقة في قلب المجد;التضحية
التضحية خفقة في قلب النصر;التضحية
التضحية درب يسلكه المخلصون;التضحية
التضحية درة في تاج الزمان;التضحية
التضحية درع الأمم في وجه التحديات;التضحية
التضحية درع يحمي كرامة الأوطان;التضحية
التضحية دمعة في عين الزمان;التضحية
التضحية دمعة في عين العلا;التضحية
التضحية دمعة في عين المجد;التضحية
التضحية رسالة يكتبها الأبطال;التضحية
التضحية زهرة في بستان الحياة;التضحية
التضحية سر السعادة الحقيقية;التضحية
التضحية سراج ينير الدروب;التضحية
التضحية سفر يكتبه الأبطال;التضحية
التضحية سفينة تبحر نحو المجد;التضحية
التضحية سلم يرتقي به المخلصون;التضحية
التضحية سيف يقطع حبال المستحيل;التضحية
التضحية سيمفونية يعزفها الشرفاء;التضحية
التضحية شراع يقود السفن;التضحية
التضحية شعاع في ظلام الليل;التضحية
التضحية شعاع في ظلام الهزيمة;التضحية
التضحية شعاع في ظلام اليأس;التضحية
التضحية شعلة تضيء طريق الأجيال;التضحية
التضحية شمس تشرق في ليل اليأس;التضحية
التضحية شمعة تحترق لتضيء للآخرين;التضحية
التضحية طريق المجد;التضحية
التضحية طريق يسلكه الأحرار;التضحية
التضحية عطر يفوح من القلوب النبيلة;التضحية
التضحية عنوان الوفاء;التضحية
التضحية فجر يبشر بيوم جديد;التضحية
التضحية في الصغائر تصنع العظائم;التضحية
التضحية قارب ينجو به المخلصون;التضحية
التضحية قارب ينجي من بحر اليأس;التضحية
التضحية قافلة تسير نحو المجد;التضحية
التضحية قافية يكتبها الشعراء;التضحية
التضحية قصة يرويها التاريخ;التضحية
التضحية قصيدة يكتبها الزمان;التضحية
التضحية قطار يحمل الأحلام;التضحية
التضحية قطرة في بحر العطاء;التضحية
التضحية قطرة في نهر الحياة;التضحية
التضحية قطرة في نهر العز;التضحية
التضحية قطرة في نهر المجد;التضحية
التضحية قلادة تزين جيد الزمان;التضحية
التضحية قلعة تحمي أحلام الشعوب;التضحية
التضحية قمر ينير ليل الحالمين;التضحية
التضحية قنديل ينير درب الحائرين;التضحية
التضحية قيمة لا تقدر بثمن;التضحية
التضحية كالشجرة تزرعها اليوم لتظللك غداً;التضحية
التضحية كالنهر تروي الأرض فتنبت خيراً;التضحية
التضحية كتاب تُكتب فيه قصص الأمجاد;التضحية
التضحية كلمة في قاموس الحياة;التضحية
التضحية كنز يورث للأجيال;التضحية
التضحية لحظة في عمر الزمان;التضحية
التضحية لحظة في عمر المجد;التضحية
التضحية لحظة في عمر النصر;التضحية
التضحية لحن يتردد في أروقة الزمان;التضحية
التضحية لحن يعزفه الأبطال;التضحية
التضحية لغة القلوب الكبيرة;التضحية
التضحية لمحة في عين التاريخ;التضحية
التضحية لمحة في عين المجد;التضحية
التضحية لمحة في عين النصر;التضحية
التضحية لوحة يرسمها الزمن بألوان المجد;التضحية
التضحية لؤلؤة في بحر الحياة;التضحية
التضحية مركب يبحر نحو الخلود;التضحية
التضحية مركبة تنقل الأحلام;التضحية
التضحية مسيرة تقود إلى العلا;التضحية
التضحية مشعل ينير درب الحالمين;التضحية
التضحية مشوار يقطعه الأبطال;التضحية
التضحية معزوفة يعزفها الكرام;التضحية
التضحية مفتاح يفتح أبواب المستحيل;التضحية
التضحية من أجل الأجيال القادمة واجب مقدس;التضحية
التضحية من أجل الآخرين تنير طريق الإنسانية;التضحية
التضحية من أجل الآخرين جزء من الإيثار الحقيقي;الإيثار
التضحية من أجل الحبيب شيء غال ونفيس فإذا كانا كقلب واحد صعب على أحدهما العيش دون الآخر;التضحية
التضحية من أجل الحق فضيلة;التضحية
التضحية من أجل الحق هي أسمى أنواع الفخر;الظلم
التضحية من أجل العلم عبادة;التضحية
التضحية من أجل المبادئ شرف لا يضاهى;التضحية
التضحية من أجل المبادئ عزة وكرامة;التضحية
التضحية من أجل الوطن شرف وواجب;التضحية
التضحية منارة تهدي السائرين;التضحية
التضحية منارة تهدي السفن الضالة;التضحية
التضحية منهاج يتبعه العظماء;التضحية
التضحية منهل يرتوي منه العطشى;التضحية
التضحية ميدان يتسابق فيه الشرفاء;التضحية
التضحية نبراس يضيء الظلام;التضحية
التضحية نبضة في عروق الزمان;التضحية
التضحية نبضة في عروق المجد;التضحية
التضحية نبضة في عروق النصر;التضحية
التضحية نبضة في قلب الحياة;التضحية
التضحية نبع يتدفق بالعطاء;التضحية
التضحية نجمة تضيء ليل الحائرين;التضحية
التضحية نجمة في سماء المجد;التضحية
التضحية نسمة في صحراء الحياة;التضحية
التضحية نسمة في صحراء المجد;التضحية
التضحية نسمة في صحراء النصر;التضحية
التضحية نشيد تعزفه القلوب الكبيرة;التضحية
التضحية نغم يعزفه القلب النبيل;التضحية
التضحية نغمة في لحن الزمان;التضحية
التضحية نغمة في لحن النصر;التضحية
التضحية نفحة في عبير الزمان;التضحية
التضحية نفحة في عبير المجد;التضحية
التضحية نفحة في عبير النصر;التضحية
التضحية نقطة في بحر العطاء;التضحية
التضحية نهج يسلكه العظماء;التضحية
التضحية نهر يروي أرض الأحلام;التضحية
التضحية نور يضيء دروب المستقبل;التضحية
التضحية همسة في أذن التاريخ;التضحية
التضحية همسة في أذن العز;التضحية
التضحية همسة في أذن الليل;التضحية
التضحية همسة في أذن المجد;التضحية
التضحية هي أسمى معاني الحب;التضحية
التضحية هي البذرة التي تنبت مجداً;التضحية
التضحية هي البوصلة نحو النصر;التضحية
التضحية هي التي غيرت المجتمعات وهي شعلة أي تغيير;التضحية
التضحية هي الثمن الذي ندفعه لتحقيق المستحيل;التضحية
التضحية هي الجسر بين الحلم والحقيقة;التضحية
التضحية هي الجسر نحو المجد;التضحية
التضحية هي الطريق الوحيد نحو القمة;التضحية
التضحية هي الطريق إلى القمة;التضحية
التضحية هي النافذة التي تطل منها على المجد;التضحية
التضحية هي أن تترك شيئاً تحبه من أجل شيء تحبه أكثر;التضحية
التضحية هي أن تعطي بلا حدود;التضحية
التضحية هي أن تعطي بلا مقابل;التضحية
التضحية هي أن تؤثر غيرك على نفسك في وقت حاجتك;التضحية
التضحية هي أهم وسيلة للمواصلات إلى ما تريد;التضحية
التضحية هي بوابة العز;التضحية
التضحية هي بوابة النجاح;التضحية
التضحية هي جوهر الحب الحقيقي;التضحية
التضحية هي جوهر المروءة وهي التي تصنع السعادة بين البشر;التضحية
التضحية هي سر البقاء;التضحية
التضحية هي سر التقدم;التضحية
التضحية هي سر الخلود;التضحية
التضحية هي سر الرفعة;التضحية
التضحية هي سر السعادة الدائمة;التضحية
التضحية هي سر العظمة;التضحية
التضحية هي سر القوة;التضحية
التضحية هي سر النجاح;التضحية
التضحية هي سر النهضة;التضحية
التضحية هي سلم النجاح;التضحية
التضحية هي طريق العظماء;التضحية
التضحية هي طريق العلا;التضحية
التضحية هي طريق الفخر;التضحية
التضحية هي طريق الفلاح;التضحية
التضحية هي عيد بين الروح وخالقها;التضحية
التضحية هي قانون النجاح الأول;التضحية
التضحية هي قصة كل نجاح عظيم;التضحية
التضحية هي لغة الأبطال;التضحية
التضحية هي لغة الأبطال الحقيقيين;التضحية
التضحية هي لغة الأوفياء;التضحية
التضحية هي لغة الصادقين;التضحية
التضحية هي لغة العارفين;التضحية
التضحية هي لغة العشق الحقيقي;التضحية
التضحية هي لغة العظماء;التضحية
التضحية هي لغة القادة;التضحية
التضحية هي لغة القادة العظام;التضحية
